Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
6006827,"Os Filhos do Flagelo (Crónicas de Allaryia, #2)",Filipe Faria,"Faria, Filipe",,"=""9722329642""","=""9789722329644""",3,3.77,Editorial Presença ,Paperback,454,2002,2002,2020/12/30,2012/10/14,,,read,,,,2,,,0,,,,,
41080186,O Jogador de Xadrez,David Sala,"Sala, David",,"=""9896827729""","=""9789896827724""",5,4.31,Levoir,Hardcover,128,2018,,2019/06/01,2019/05/31,,,read,,,,1,,,0,,,,,
25463197,A Saga do Tio Patinhas,Don Rosa,"Rosa, Don",,"=""""","=""9788536418254""",5,4.78,Abril,Hardcover,388,2015,1997,2020/10/29,2020/10/29,,,read,,,,1,,,0,,,,,
25670162,Stories of Your Life and Others,Ted Chiang,"Chiang, Ted",,"=""1447289234""","=""9781447289234""",4,4.23,Picador,Paperback,338,2015,2002,2020/10/21,2020/10/03,,,read,,,,1,,,0,,,,,
39096013,Dragomante: Fogo de Dragão,Filipe Faria,"Faria, Filipe",Manuel Morgado,"=""""","=""9788416510610""",3,3.69,G. Floy Studio/ Comic Heart,Hardcover,56,2018,2018,2020/10/03,2020/10/03,,,read,,,,1,,,0,,,,,
1806507,"A Manopla de Karasthan (Crónicas de Allaryia, #1)",Filipe Faria,"Faria, Filipe",,"=""9722328638""","=""9789722328630""",2,3.56,Editorial Presença,Paperback,534,2002,2002,2020/10/03,2012/10/14,,,read,,,,2,,,0,,,,,
34103397,"Megg, Mogg & Mocho",Simon Hanselmann,"Hanselmann, Simon",,"=""""","=""""",3,3.75,Chili Com Carne,Paperback,64,2016,,2020/09/09,2020/09/09,,,read,,,,1,,,0,,,,,
15742624,Difícil é Educá-los,David Justino,"Justino, David",,"=""""","=""9789898424099""",3,3.46,Fundação Francisco Manuel dos Santos,Mass Market Paperback,129,2010,2010,2020/08/26,2020/08/10,,,read,,,,1,,,0,,,,,
9464841,Ernestina,J. Rentes de Carvalho,"Carvalho, J. Rentes de",,"=""9725648145""","=""9789725648148""",4,4.34,Quetzal,Paperback,317,2009,1999,2020/08/10,2020/07/26,,,read,,,,1,,,0,,,,,
10364425,Filosofia em Directo,Desidério Murcho,"Murcho, Desidério",,"=""9898424167""","=""9789898424167""",2,3.52,Fundação Francisco Manuel dos Santos / Relógio D'Água Editores,Mass Market Paperback,98,2011,2011,2020/07/26,2020/07/22,,,read,,,,1,,,0,,,,,
13547452,11/22/63,Stephen King,"King, Stephen",,"=""1451627297""","=""9781451627299""",4,4.30,Gallery Books,Paperback,849,2012,2011,2020/07/22,2020/07/08,,,read,,,,1,,,0,,,,,
23483748,Pseudociência,David Marçal,"Marçal, David",,"=""""","=""9789898662774""",4,4.15,Fundação Francisco Manuel dos Santos,Paperback,98,2014,2014,2020/07/08,2020/07/06,,,read,,,,1,,,0,,,,,
32565582,Sovereign (Nemesis #2),April  Daniels,"Daniels, April",,"=""1682308243""","=""9781682308240""",4,4.26,Diversion Publishing,Paperback,315,2017,2017,2020/07/05,2020/07/01,,,read,,,,1,,,0,,,,,
3143104,O Principezinho,Antoine de Saint-Exupéry,"Saint-Exupéry, Antoine de",Joana Varela,"=""9722328298""","=""9789722328296""",1,4.31,Editorial Presença,Paperback,96,2009,1943,2016/12/26,2016/12/18,,,read,"Mantém-se horrível. Não há uma linha disto que me agrade. É um livro condescendente, idiota e infantilizado (algo bem diferente de infantil). Um guia moralista disfarçado de historieta para crianças, a quem passa completamente ao lado, mas verdadeiramente direccionado para adultos incapazes de lidar com conceitos complexos. Não consigo aturar, e deve ser das poucas obras que eu até queimava de bom grado.",,,1,,,0,,,,,
10569,On Writing: A Memoir of the Craft,Stephen King,"King, Stephen",,"=""0743455967""","=""9780743455961""",5,4.32,Pocket Books,Mass Market Paperback,320,2002,2000,2020/07/01,2020/06/20,,,read,,,,1,,,0,,,,,
8727968,Horns,Joe Hill,"Hill, Joe",,"=""0575099992""","=""9780575099999""",5,3.92,Gollancz,Paperback,437,2011,2009,2020/06/20,2020/06/05,,,read,,,,1,,,0,,,,,
35270717,Unthinkable: What the World's Most Extraordinary Brains Can Teach Us About Our Own,Helen  Thomson,"Thomson, Helen",,"=""0062391186""","=""9780062391186""",5,3.97,Ecco,ebook,256,2018,2018,2020/06/05,2020/05/29,,,read,,,,1,,,0,,,,,
30279514,Dreadnought (Nemesis #1),April  Daniels,"Daniels, April",,"=""1682300684""","=""9781682300688""",5,4.13,Diversion Publishing,Paperback,280,2017,2017,2020/05/29,2020/05/28,,,read,,,,1,,,0,,,,,
45321949,Esquecidos em Abril,Fábio Monteiro,"Monteiro, Fábio",,"=""9722419048""","=""9789722419048""",5,4.75,Livros Horizonte,Paperback,168,2019,,2020/05/28,2020/05/26,,,read,,,,1,,,0,,,,,
17825821,Aprender a Ter Medo,Mazan,"Mazan, Mazan",,"=""""","=""""",5,4.67,Meribérica/Liber,Paperback,,,1998,2020/05/26,2013/04/16,,,read,,,,2,,,0,,,,,
41252082,Steampunk Internacional,Ian Whates,"Whates, Ian","Anton Stark, Derry O'Dowd, Diana  Pinguicha, Anne Leinonen, Jonathan Green, J.S. Meresmaa, Magdalena Hai, Pedro Cipriano, George Mann","=""""","=""9789899899667""",2,3.47,Editorial Divergência,Paperback,246,2018,,2020/05/26,2020/05/20,,,read,,,,1,,,0,,,,,
9210344,Eternus 9: Um Filho do Cosmos,Victor Mesquita,"Mesquita, Victor",,"=""""","=""""",4,3.55,Meribérica,Paperback,58,1979,1979,2020/05/20,2020/05/17,,,read,,,,1,,,0,,,,,
35223388,The Self-Inflicted Relative: 33 Fantastic Stories in 100 Words,Maija Haavisto,"Haavisto, Maija","Mikko Rauhala, Maria Carole, Magdalena Hai, Janos Honkonen, Artemis Kelosaari, Taru Kumara-Moisio, Mixu Lauronen, O.E. Lönnberg, J.S. Meresmaa, Anni Nupponen, Tarja Sipiläinen, Christine Thorel, M.A. Tyrskyluoto, Kari Välimäki","=""""","=""9789527215326""",3,3.85,Osuuskumma International,Paperback,46,2017,,2020/05/19,2020/05/19,,,read,,,,1,,,0,,,,,
23273483,"Dr. Estranho e Dr. Destino: Triunfo e Tormento (Universo Marvel, #12)",Roger Stern,"Stern, Roger","Mike Mignola, Kevin Nowlan, Gerry Conway, Gene Colan, Bill Mantlo","=""""","=""9789896824563""",4,4.00,Levoir,Hardcover,152,2014,1989,2014/10/28,2014/10/28,,,read,,,,1,,,0,,,,,
39094837,Embalando a Minha Biblioteca: Uma Elegia e Dez Divagações,Alberto Manguel,"Manguel, Alberto",Rita Almeida Simões,"=""9896714266""","=""9789896714260""",4,3.89,Edições Tinta-da-China,Paperback,143,2018,2018,2020/05/17,2020/05/07,,,read,,,,1,,,0,,,,,
49003086,The Lisbon Studio antologia,Joana Afonso,"Afonso, Joana","Filipe Andrade, João Tércio, Marta Teives, Nuno Duarte, Nuno Saraiva, Pedro Moura, Ricardo Cabral, Jakub Jankowski","=""""","=""9788366347120""",4,3.65,Timof comics,Hardcover,96,2019,2017,2020/05/12,2020/05/12,,,read,,,,1,,,0,,,,,
33391000,A Vigília (The Sandman #10),Neil Gaiman,"Gaiman, Neil","Michael Zulli, Jon J. Muth, Charles Vess, Kevin Nowlan, Dave McKean","=""""","=""9789896826062""",4,4.52,Levoir,Hardcover,184,2016,1996,2020/05/07,2020/05/07,,,read,,,,1,,,0,,,,,
33299585,"As Benevolentes 2 (The Sandman, #9, parte 2)",Neil Gaiman,"Gaiman, Neil","Mark Hempel, Richard Case, Teddy Kristiansen, Dave McKean","=""""","=""9789896826055""",5,4.26,Levoir,Hardcover,160,2016,1996,2020/05/07,2020/05/07,,,read,,,,1,,,0,,,,,
33233255,"As Benevolentes 1 (The Sandman, #9, parte 1)",Neil Gaiman,"Gaiman, Neil","Mark Hempel, D'Israeli, Glyn Dillon, Charles Vess, Dean Ormston, Dave McKean","=""""","=""9789896826048""",5,4.06,Levoir,Hardcover,184,2016,1996,2020/05/07,2020/05/03,,,read,,,,1,,,0,,,,,
33122039,A Estalagem no Fim do Mundo (The Sandman #8),Neil Gaiman,"Gaiman, Neil","Mike Allred, Bryan Talbot, John Watkiss, Michael Zulli, Dave McKean, Gary Amaro, Mark Buckingham, Dick Giordano, Tony Harris, Steve Leiloha, Vince Locke, Shea Anton Pensa, Alec Stevens","=""""","=""9789896826031""",4,4.47,Levoir,Hardcover,192,2016,1993,2020/05/03,2020/05/01,,,read,,,,1,,,0,,,,,
3439336,Sandman: Vidas Breves,Neil Gaiman,"Gaiman, Neil","Jill Thompson, Vince Locke, Daniel Pellizzari","=""8576162369""","=""9788576162360""",5,4.54,Conrad,Hardcover,264,2007,1993,2020/05/01,2020/04/29,,,read,,,,1,,,0,,,,,
